IP,CCode,IsExit,IsGuard,Consensus(KB/s),Rate(KiB/s),Burst(KiB/s),MaxObserved(KiB/s),MaxRead(KiB/s),MaxWrite(KiB/s),LinkDown(KiB/s),LinkUp(KiB/s),Load(KiB/s)
188.166.6.6,NL,True,True,43,10240,20480,12537,0,0,12537,12537,0
46.182.106.190,NL,True,True,19,10240,12288,11595,0,0,11595,11595,0
89.163.150.79,DE,True,True,12,1048576,1048576,11702,0,0,11702,11702,0
195.254.135.76,RO,True,True,6,1048576,1048576,4458,0,0,4458,4458,0
209.141.52.138,US,True,True,3,1048576,1048576,4295,0,0,4295,4295,0
81.7.14.246,DE,False,True,54,20480,23552,23051,0,0,23051,23051,0
93.186.200.68,DE,False,True,35,1048576,1048576,17243,0,0,17243,17243,0
51.254.215.124,FR,False,True,27,1048576,1048576,12928,0,0,12928,12928,0
51.254.222.70,FR,False,True,24,1048576,1048576,11964,0,0,11964,11964,0
46.28.110.244,CZ,False,True,21,7680,15360,9412,0,0,9412,9412,0
89.163.219.76,DE,False,True,18,20480,25600,12023,0,0,12023,12023,0
85.114.135.20,DE,False,True,16,5500,6000,6421,0,0,6421,6421,0
62.75.159.171,DE,False,True,14,5000,5000,5821,0,0,5821,5821,0
92.222.9.53,FR,False,True,13,1048576,1048576,10700,0,0,10700,10700,0
195.154.97.43,FR,False,True,12,6096,7096,6754,0,0,6754,6754,0
178.63.18.25,DE,False,True,11,5000,5500,5959,0,0,5959,5959,0
37.157.194.180,CZ,False,True,9,12000,12207,9017,0,0,9017,9017,0
107.170.32.71,US,False,True,8,1048576,1048576,13167,0,0,13167,13167,0
185.100.84.251,RO,False,True,7,1048576,1048576,13118,0,0,13118,13118,0
185.100.85.168,RO,False,True,6,4500,4600,4795,0,0,4795,4795,0
46.249.42.253,NL,False,True,6,2048,2048,2313,0,0,2313,2313,0
188.120.251.129,RU,False,True,5,4096,16384,5663,0,0,5663,5663,0
62.210.108.60,FR,False,True,4,1048576,1048576,5319,0,0,5319,5319,0
84.213.202.233,NO,False,True,4,10000,10000,2384,0,0,2384,2384,0
159.203.18.125,CA,False,True,3,1048576,1048576,4000,0,0,4000,4000,0
194.126.175.157,NL,False,True,3,1500,4000,1904,0,0,1904,1904,0
50.116.40.226,US,False,True,2,1048576,1048576,4576,0,0,4576,4576,0
188.42.216.83,SG,False,True,2,20000,30000,5814,0,0,5814,5814,0
178.17.174.10,MD,True,False,10,8192,10240,9321,0,0,9321,9321,0
104.233.114.80,CA,True,False,1,1048576,1048576,3018,0,0,3018,3018,0
107.181.161.169,US,True,False,0,1000,1000,1872,0,0,1872,1872,0
150.107.150.102,ID,True,False,0,1048576,1048576,1964,0,0,1964,1964,0
216.115.3.26,US,True,False,0,250,450,478,0,0,478,478,0
93.186.14.70,DE,True,False,0,100,200,224,0,0,224,224,0
125.212.205.179,VN,True,False,0,100,200,209,0,0,209,209,0
144.76.70.41,DE,False,False,17,1048576,1048576,13325,0,0,13325,13325,0
195.154.109.157,FR,False,False,6,1048576,1048576,7939,0,0,7939,7939,0
90.104.150.191,FR,False,False,4,2000,2250,3601,0,0,3601,3601,0
109.74.206.21,GB,False,False,3,1024,10240,2048,0,0,2048,2048,0
195.91.225.53,RU,False,False,2,1048576,1048576,3046,0,0,3046,3046,0
46.167.245.51,CZ,False,False,2,2000,2000,2195,0,0,2195,2195,0
162.243.101.110,US,False,False,1,1280,19200,2866,0,0,2866,2866,0
188.165.6.66,IE,False,False,1,1024,2048,1274,0,0,1274,1274,0
176.58.110.66,GB,False,False,1,1024,2048,1246,0,0,1246,1246,0
162.243.150.156,US,False,False,1,1200,1500,1415,0,0,1415,1415,0
31.192.104.130,RU,False,False,1,1000,2000,1278,0,0,1278,1278,0
178.79.161.152,GB,False,False,1,750,1500,957,0,0,957,957,0
104.236.182.205,US,False,False,1,1024,1024,1190,0,0,1190,1190,0
79.194.82.132,DE,False,False,1,0,0,0,0,0,1170,1170,0
23.94.101.149,US,False,False,1,2400,4800,2757,0,0,2757,2757,0
84.75.230.35,CH,False,False,1,2048,4096,2598,0,0,2598,2598,0
91.97.245.167,DE,False,False,0,0,0,0,0,0,942,942,0
68.71.46.138,CA,False,False,0,102400,204800,1098,0,0,1098,1098,0
198.252.153.69,US,False,False,0,6550,1048576,3224,0,0,3224,3224,0
109.255.218.36,IE,False,False,0,1024,2048,945,0,0,945,945,0
143.159.183.11,GB,False,False,0,1048576,1048576,865,0,0,865,865,0
80.127.253.203,NL,False,False,0,1048576,1048576,673,0,0,673,673,0
128.199.41.238,NL,False,False,0,500,1500,694,0,0,694,694,0
162.211.225.133,US,False,False,0,1000,1000,1101,0,0,1101,1101,0
176.10.140.227,SE,False,False,0,102400,102400,638,0,0,638,638,0
77.71.106.201,BG,False,False,0,1048576,1048576,869,0,0,869,869,0
73.40.36.170,US,False,False,0,500,625,563,0,0,563,563,0
87.92.17.28,FI,False,False,0,400,1000,644,0,0,644,644,0
221.113.50.203,JP,False,False,0,500,800,590,0,0,590,590,0
23.88.232.5,US,False,False,0,500,750,588,0,0,588,588,0
192.241.252.63,US,False,False,0,400,800,515,0,0,515,515,0
77.175.207.228,NL,False,False,0,660,780,736,0,0,736,736,0
94.181.45.237,RU,False,False,0,400,600,471,0,0,471,471,0
192.71.245.137,IT,False,False,0,100,200,2323,0,0,2323,2323,0
212.74.254.243,RU,False,False,0,300,500,365,0,0,365,365,0
216.17.105.203,US,False,False,0,500,3072,827,0,0,827,827,0
88.180.173.63,FR,False,False,0,300,600,386,0,0,386,386,0
103.230.156.174,AU,False,False,0,1048576,1048576,645,0,0,645,645,0
46.216.38.104,BY,False,False,0,256,384,316,0,0,316,316,0
220.157.195.243,JP,False,False,0,100,200,610,0,0,610,610,0
109.9.189.81,FR,False,False,0,200,500,263,0,0,263,263,0
79.253.84.67,DE,False,False,0,0,0,0,0,0,102,102,0
45.32.241.243,AU,False,False,0,385,1540,487,0,0,487,487,0
86.246.172.50,FR,False,False,0,200,250,241,0,0,241,241,0
52.10.33.69,US,False,False,0,150,150,175,0,0,175,175,0
174.92.170.86,CA,False,False,0,256,256,281,0,0,281,281,0
46.59.242.180,DE,False,False,0,125,250,158,0,0,158,158,0
178.203.143.101,DE,False,False,0,128,256,163,0,0,163,163,0
173.246.104.167,US,False,False,0,100,200,130,0,0,130,130,0
80.140.192.221,DE,False,False,0,0,0,0,0,0,29,29,0
52.35.75.214,US,False,False,0,5120,10240,321,0,0,321,321,0
134.119.3.2,DE,False,False,0,100,100,147,0,0,147,147,0
128.75.59.122,RU,False,False,0,0,0,0,0,0,20,20,0
162.243.150.229,US,False,False,0,100,200,120,0,0,120,120,0
185.14.28.106,NL,False,False,0,100,100,127,0,0,127,127,0
158.69.217.34,US,False,False,0,80,100,112,0,0,112,112,0
92.201.78.69,DE,False,False,0,5120,10240,0,0,0,12,12,0
86.103.186.57,DE,False,False,0,0,0,0,0,0,10,10,0
79.210.21.203,DE,False,False,0,0,0,0,0,0,8,8,0
37.35.107.238,CH,False,False,0,75,100,110,0,0,110,110,0
77.205.114.231,FR,False,False,0,80,90,89,0,0,89,89,0
58.96.72.207,AU,False,False,0,1048576,1048576,112,0,0,112,112,0
88.190.118.95,FR,False,False,0,20,20,88,0,0,88,88,0
