IP,CCode,IsExit,IsGuard,Consensus(KB/s),Rate(KiB/s),Burst(KiB/s),MaxObserved(KiB/s),MaxRead(KiB/s),MaxWrite(KiB/s),LinkDown(KiB/s),LinkUp(KiB/s),Load(KiB/s)
89.163.225.207,DE,True,True,65,0,0,0,0,0,65800,65800,0
204.85.191.30,US,True,True,32,0,0,0,0,0,32700,32700,0
193.111.136.162,DE,True,True,22,0,0,0,0,0,22000,22000,0
176.10.99.201,CH,True,True,17,0,0,0,0,0,17900,17900,0
176.10.99.207,CH,True,True,14,0,0,0,0,0,14100,14100,0
92.222.38.67,FR,True,True,10,0,0,0,0,0,10700,10700,0
72.52.75.27,US,True,True,7,0,0,0,0,0,7610,7610,0
77.37.218.145,RU,True,True,5,0,0,0,0,0,5590,5590,0
89.238.77.4,DE,True,True,3,0,0,0,0,0,3790,3790,0
193.107.85.56,IS,True,True,2,0,0,0,0,0,2210,2210,0
178.77.123.41,DE,False,True,53,0,0,0,0,0,53000,53000,0
46.165.249.228,DE,False,True,42,0,0,0,0,0,42300,42300,0
144.76.73.140,DE,False,True,34,0,0,0,0,0,34800,34800,0
138.201.26.2,DE,False,True,30,0,0,0,0,0,30600,30600,0
5.61.34.63,DE,False,True,27,0,0,0,0,0,27400,27400,0
104.238.188.98,FR,False,True,25,0,0,0,0,0,25600,25600,0
195.154.126.78,FR,False,True,24,0,0,0,0,0,24000,24000,0
5.9.71.232,DE,False,True,22,0,0,0,0,0,22600,22600,0
212.16.170.158,SE,False,True,21,0,0,0,0,0,21100,21100,0
96.230.78.227,US,False,True,19,0,0,0,0,0,19800,19800,0
89.163.219.76,DE,False,True,18,0,0,0,0,0,18600,18600,0
76.10.212.27,US,False,True,17,0,0,0,0,0,17400,17400,0
46.28.109.231,CZ,False,True,16,0,0,0,0,0,16200,16200,0
178.32.216.146,FR,False,True,15,0,0,0,0,0,15500,15500,0
5.9.83.204,DE,False,True,14,0,0,0,0,0,14900,14900,0
148.251.252.237,DE,False,True,14,0,0,0,0,0,14300,14300,0
89.163.132.73,DE,False,True,13,0,0,0,0,0,13700,13700,0
195.154.128.58,FR,False,True,13,0,0,0,0,0,13100,13100,0
185.31.230.69,NL,False,True,12,0,0,0,0,0,12200,12200,0
193.11.114.47,SE,False,True,11,0,0,0,0,0,11600,11600,0
89.163.217.38,DE,False,True,11,0,0,0,0,0,11100,11100,0
212.47.241.21,FR,False,True,10,0,0,0,0,0,10600,10600,0
167.114.29.114,CA,False,True,9,0,0,0,0,0,9960,9960,0
84.234.155.82,NO,False,True,9,0,0,0,0,0,9450,9450,0
155.4.56.170,SE,False,True,8,0,0,0,0,0,8760,8760,0
164.132.93.239,IT,False,True,8,0,0,0,0,0,8270,8270,0
51.175.74.174,NO,False,True,7,0,0,0,0,0,7900,7900,0
89.34.237.21,RO,False,True,7,0,0,0,0,0,7400,7400,0
85.10.211.53,DE,False,True,6,0,0,0,0,0,6910,6910,0
46.28.205.170,CH,False,True,6,0,0,0,0,0,6600,6600,0
2.93.36.170,RU,False,True,6,0,0,0,0,0,6340,6340,0
104.37.192.156,CA,False,True,5,0,0,0,0,0,5970,5970,0
159.203.1.86,CA,False,True,5,0,0,0,0,0,5610,5610,0
37.123.146.76,SE,False,True,5,0,0,0,0,0,5350,5350,0
185.60.146.245,CH,False,True,5,0,0,0,0,0,5090,5090,0
208.118.235.48,US,False,True,4,0,0,0,0,0,4770,4770,0
208.36.2.5,US,False,True,4,0,0,0,0,0,4430,4430,0
94.23.219.229,FR,False,True,4,0,0,0,0,0,4100,4100,0
217.12.210.112,UA,False,True,3,0,0,0,0,0,3850,3850,0
37.134.157.147,ES,False,True,3,0,0,0,0,0,3650,3650,0
176.58.105.88,GB,False,True,3,0,0,0,0,0,3410,3410,0
208.66.30.27,US,False,True,3,0,0,0,0,0,3200,3200,0
155.98.5.6,US,False,True,2,0,0,0,0,0,2930,2930,0
162.221.202.230,CA,False,True,2,0,0,0,0,0,2610,2610,0
71.19.154.138,US,False,True,2,0,0,0,0,0,2290,2290,0
212.47.253.41,FR,False,True,1,0,0,0,0,0,1740,1740,0
176.10.104.240,CH,True,False,16,0,0,0,0,0,16700,16700,0
176.58.100.98,GB,True,False,3,0,0,0,0,0,3700,3700,0
149.56.14.66,US,True,False,1,0,0,0,0,0,1950,1950,0
139.162.144.155,DE,True,False,1,0,0,0,0,0,1380,1380,0
95.163.121.105,RU,True,False,1,0,0,0,0,0,1070,1070,0
60.248.162.179,TW,True,False,0,0,0,0,0,0,736,736,0
94.102.52.41,NL,True,False,0,0,0,0,0,0,491,491,0
185.86.148.51,SE,True,False,0,0,0,0,0,0,336,336,0
206.55.74.0,US,True,False,0,0,0,0,0,0,214,214,0
188.40.227.34,DE,True,False,0,0,0,0,0,0,142,142,0
74.142.74.156,US,True,False,0,0,0,0,0,0,81,81,0
212.26.245.34,RU,True,False,0,0,0,0,0,0,35,35,0
95.223.204.243,DE,True,False,0,0,0,0,0,0,22,22,0
185.82.216.40,BG,True,False,0,0,0,0,0,0,15,15,0
89.133.121.244,HU,True,False,0,0,0,0,0,0,6,6,0
45.79.186.43,US,False,False,6,0,0,0,0,0,6700,6700,0
104.131.101.251,US,False,False,5,0,0,0,0,0,5520,5520,0
217.208.145.216,SE,False,False,4,0,0,0,0,0,4750,4750,0
178.79.161.177,GB,False,False,3,0,0,0,0,0,3700,3700,0
104.233.93.91,CA,False,False,3,0,0,0,0,0,3350,3350,0
81.227.216.76,SE,False,False,2,0,0,0,0,0,2930,2930,0
85.218.136.63,DK,False,False,2,0,0,0,0,0,2550,2550,0
